Description,clean_desc,prod_cluster
"small pop box,funky monkey",small pop box funky monkey,7
childrens garden gloves pink,childrens garden gloves pink,2
daisy garden marker,daisy garden marker,7
birdhouse garden marker,birdhouse garden marker,7
stripes design teddy,stripes design teddy,7
rain poncho retrospot,rain poncho retrospot,7
decorative cats bathroom bottle,decorative cats bathroom bottle,7
basket of toadstools,basket of toadstools,1
pink  honeycomb paper ball,pink honeycomb paper ball,10
ceramic strawberry trinket tray,ceramic strawberry trinket tray,7
cherry blossom  decorative flask,cherry blossom decorative flask,7
dinosaur keyrings assorted,dinosaur keyrings assorted,7
paperweight childhood memories,paperweight childhood memories,7
red gingham teddy bear,red gingham teddy bear,7
pink painted kashmiri chair,pink painted kashmiri chair,2
set/6 purple butterfly t-lights,set 6 purple butterfly t lights,1
75 black petit four cases,75 black petit four cases,7
dolly mixture children's umbrella,dolly mixture children s umbrella,7
cream felt easter egg basket,cream felt easter egg basket,7
blue felt easter egg basket,blue felt easter egg basket,4
folkart heart napkin rings,folkart heart napkin rings,3
strawberry dream childs umbrella,strawberry dream childs umbrella,7
fairy cakes notebook a7 size,fairy cakes notebook a7 size,7
small chocolates pink bowl,small chocolates pink bowl,2
large cake towel pink spots,large cake towel pink spots,2
12 pink rose peg place settings,12 pink rose peg place settings,9
union flag windsock,union flag windsock,7
floor lamp shade wood base,floor lamp shade wood base,7
etched glass coaster,etched glass coaster,7
butterfly crochet food cover,butterfly crochet food cover,11
ping microwave apron,ping microwave apron,7
oven mitt apples design,oven mitt apples design,7
apron apple delight,apron apple delight,7
gingham oven glove red heart,gingham oven glove red heart,3
christmas tree heart decoration,christmas tree heart decoration,3
christmas musical zinc tree,christmas musical zinc tree,6
magic drawing slate leap frog,magic drawing slate leap frog,10
periwinkle t-light holder,periwinkle t light holder,3
silicon star bulb  blue,silicon star bulb blue,4
large medina stamped metal bowl,large medina stamped metal bowl,7
blue netting storage hanger,blue netting storage hanger,4
tablecloth red apples design,tablecloth red apples design,7
"silicon cube 25w, blue",silicon cube 25w blue,4
set/6 collage paper plates,set 6 collage paper plates,10
multicolour honeycomb fan,multicolour honeycomb fan,7
retrospot padded seat cushion,retrospot padded seat cushion,11
madras notebook large,madras notebook large,7
set of 3 bird light pink feather,set of 3 bird light pink feather,1
vintage bead notebook,vintage bead notebook,6
beaded crystal heart pink large,beaded crystal heart pink large,3
sandalwood fan,sandalwood fan,7
hanging heart jar t-light holder,hanging heart jar t light holder,3
pack 6 heart/ice-cream patches,pack 6 heart ice cream patches,3
pink owl soft toy,pink owl soft toy,2
set/6 turquoise butterfly t-lights,set 6 turquoise butterfly t lights,1
cream and pink flowers pony,cream and pink flowers pony,2
6 rocket balloons,6 rocket balloons,7
blue circles design teddy,blue circles design teddy,4
crystal frog phone charm,crystal frog phone charm,7
sombrero,sombrero,7
animal stickers,animal stickers,7
green bitty light chain,green bitty light chain,7
rain poncho,rain poncho,7
assorted tutti frutti bracelet,assorted tutti frutti bracelet,7
blue travel first aid kit,blue travel first aid kit,4
french toilet sign blue metal,french toilet sign blue metal,4
black grand baroque photo frame,black grand baroque photo frame,7
metal sign neighbourhood witch,metal sign neighbourhood witch,7
bag of silver stones,bag of silver stones,7
ivory pillar candle silver flock,ivory pillar candle silver flock,7
ivory pillar candle gold flock,ivory pillar candle gold flock,7
abstract circles sketchbook,abstract circles sketchbook,7
fairy cakes notebook a6 size,fairy cakes notebook a6 size,7
tea time breakfast basket,tea time breakfast basket,7
alphabet hearts sticker sheet,alphabet hearts sticker sheet,7
folkart star christmas decorations,folkart star christmas decorations,6
ass colour glowing tiaras,ass colour glowing tiaras,7
white bell honeycomb paper garland,white bell honeycomb paper garland,10
small silver trellis candlepot,small silver trellis candlepot,7
robin christmas card,robin christmas card,0
36 pencils tube posy,36 pencils tube posy,7
folkart zinc star christmas dec,folkart zinc star christmas dec,6
"string of 8 butterflies,pink",string of 8 butterflies pink,2
utilty cabinet with hooks,utilty cabinet with hooks,8
french blue metal door sign 9,french blue metal door sign 9,4
bathroom scales rubber ducks,bathroom scales rubber ducks,7
floor cushion elephant carnival,floor cushion elephant carnival,7
rabbit  design  cotton tote bag,rabbit design cotton tote bag,7
jigsaw tree with birdhouse,jigsaw tree with birdhouse,8
easter tin bunny bouquet,easter tin bunny bouquet,7
easter tin chicks pink daisy,easter tin chicks pink daisy,2
motoring tissue box,motoring tissue box,7
empire tissue box,empire tissue box,7
pink union jack  passport cover,pink union jack passport cover,11
kensington coffee set,kensington coffee set,1
set/12 funky felt flower peg in bag,set 12 funky felt flower peg in bag,9
party cones candy tree decoration,party cones candy tree decoration,7
set of 6 t-lights easter chicks,set of 6 t lights easter chicks,1
"large cake towel, chocolate spots",large cake towel chocolate spots,7
pink padded mobile,pink padded mobile,2
s/12 mini rabbit easter,s 12 mini rabbit easter,7
tea for one polkadot,tea for one polkadot,7
medium medina stamped metal bowl,medium medina stamped metal bowl,7
mirror cornice,mirror cornice,7
blue & white breakfast tray,blue white breakfast tray,4
"metal sign,cupcake single hook",metal sign cupcake single hook,7
retro plastic 70's tray,retro plastic 70 s tray,7
paper pocket traveling fan,paper pocket traveling fan,10
scottie dogs baby bib,scottie dogs baby bib,7
beaded crystal heart pink small,beaded crystal heart pink small,3
beaded crystal heart green small,beaded crystal heart green small,3
hanging fairy cake decoration,hanging fairy cake decoration,3
vintage union jack doorstop,vintage union jack doorstop,6
blue teatime print bowl,blue teatime print bowl,4
man flu metal sign,man flu metal sign,7
house wrecking metal sign,house wrecking metal sign,7
love large wood letters,love large wood letters,7
biscuit tin vintage green,biscuit tin vintage green,6
frying pan red retrospot,frying pan red retrospot,7
set of 16 vintage rose cutlery,set of 16 vintage rose cutlery,1
new england mug w gift box,new england mug w gift box,7
pink green embroidery cosmetic bag,pink green embroidery cosmetic bag,2
blue green embroidery cosmetic bag,blue green embroidery cosmetic bag,4
pair padded hangers pink check,pair padded hangers pink check,2
angel decoration painted zinc,angel decoration painted zinc,7
small silver flower candle pot,small silver flower candle pot,9
red rose and lace c/cover,red rose and lace c cover,9
glitter christmas star,glitter christmas star,6
card suki birthday,card suki birthday,0
wrap suki and friends,wrap suki and friends,7
birdhouse decoration magic garden,birdhouse decoration magic garden,7
birdcage decoration tealight holder,birdcage decoration tealight holder,3
brown  pirate treasure chest,brown pirate treasure chest,7
blue pudding spoon,blue pudding spoon,4
retro pink ball ashtray,retro pink ball ashtray,2
summer fun design shower cap,summer fun design shower cap,7
stripy design shower cap,stripy design shower cap,7
set/4 daisy mirror magnets,set 4 daisy mirror magnets,1
set/4 bird mirror magnets,set 4 bird mirror magnets,1
set/4 butterfly mirror magnets,set 4 butterfly mirror magnets,7
french style embossed heart cabinet,french style embossed heart cabinet,3
skull design tv dinner tray,skull design tv dinner tray,7
green sweetheart bracelet,green sweetheart bracelet,7
carnival bracelet,carnival bracelet,7
4 pear botanical dinner candles,4 pear botanical dinner candles,7
funky monkey mug,funky monkey mug,7
queen of skies luggage tag,queen of skies luggage tag,7
economy luggage tag,economy luggage tag,7
heart calculator,heart calculator,3
biscuits small bowl light blue,biscuits small bowl light blue,4
small marshmallows pink bowl,small marshmallows pink bowl,2
party pizza dish green polkadot,party pizza dish green polkadot,7
party pizza dish pink polkadot,party pizza dish pink polkadot,2
party pizza dish blue polkadot,party pizza dish blue polkadot,4
assorted cheese fridge magnets,assorted cheese fridge magnets,7
pearl crystal pumpkin t-light hldr,pearl crystal pumpkin t light hldr,7
white stitched cushion cover,white stitched cushion cover,11
porcelain butterfly oil burner,porcelain butterfly oil burner,7
"bread bin, diner style, mint",bread bin diner style mint,7
"bread bin, diner style, ivory",bread bin diner style ivory,7
set of 6 vintage notelets kit,set of 6 vintage notelets kit,1
card gingham rose,card gingham rose,9
set of 12  vintage postcard set,set of 12 vintage postcard set,1
ladle love heart red,ladle love heart red,3
36 doilies dolly girl,36 doilies dolly girl,7
rose 1 wick morris boxed candle,rose 1 wick morris boxed candle,9
set/6 pink bird t-light candles,set 6 pink bird t light candles,2
assorted tutti frutti  fob notebook,assorted tutti frutti fob notebook,7
dolly honeycomb garland,dolly honeycomb garland,7
rose folkart heart decorations,rose folkart heart decorations,3
glitter christmas tree with bells,glitter christmas tree with bells,8
pink knitted egg cosy,pink knitted egg cosy,2
blue knitted egg cosy,blue knitted egg cosy,4
way out metal sign,way out metal sign,7
savoy art deco clock,savoy art deco clock,5
hall cabinet with 3 drawers,hall cabinet with 3 drawers,8
doormat home sweet home blue,doormat home sweet home blue,4
blue wire spiral candle holder,blue wire spiral candle holder,4
s/12 vanilla  botanical t-lights,s 12 vanilla botanical t lights,7
small hammered silver candlepot,small hammered silver candlepot,7
white chrysanthemums art flower,white chrysanthemums art flower,9
retro plastic daisy tray,retro plastic daisy tray,7
angel decoration with lace padded,angel decoration with lace padded,8
sunset check hammock,sunset check hammock,7
retro plastic polka tray,retro plastic polka tray,7
white brocante soap dish,white brocante soap dish,8
abstract circle journal,abstract circle journal,7
chrysanthemum  journal,chrysanthemum journal,7
asstd multicolour circles mug,asstd multicolour circles mug,7
6 egg house painted wood,6 egg house painted wood,7
french chateau large platter,french chateau large platter,7
envelope 50 curious images,envelope 50 curious images,7
folding camping scissor w/knif & s,folding camping scissor w knif s,7
hand open shape deco.white,hand open shape deco white,8
pink jewelled mirror trinket tray,pink jewelled mirror trinket tray,2
white sage incense,white sage incense,8
afghan slipper sock pair,afghan slipper sock pair,7
set of 6 t-lights cacti,set of 6 t lights cacti,1
citronella candle flowerpot,citronella candle flowerpot,7
small glass sundae dish clear,small glass sundae dish clear,7
vintage caravan gift wrap,vintage caravan gift wrap,6
gold ear muff headphones,gold ear muff headphones,7
paperweight save the planet,paperweight save the planet,7
set/3 rose candle in jewelled box,set 3 rose candle in jewelled box,9
red retrospot storage jar,red retrospot storage jar,7
pocket bag blue paisley red spot,pocket bag blue paisley red spot,4
pocket bag pink paisely brown spot,pocket bag pink paisely brown spot,2
essential balm 3.5g tin in envelope,essential balm 3 5g tin in envelope,7
butterflies stickers,butterflies stickers,7
cake shop  sticker sheet,cake shop sticker sheet,7
72 cake cases vintage christmas,72 cake cases vintage christmas,6
